43,57
81,76
91,4
11,29
62,34
90,70
99,30
35,88
62,59
47,74
99,39
84,38
93,73
21,23
29,4
69,6
68,36
83,56
15,60
26,64
41,64
54,31
59,3
21,51
21,83
59,7
61,73
55,88
52,40
84,13
22,46
39,100
12,78
91,77
30,17
33,90
4,2
81,86
82,21
57,20
91,51
79,41
48,72
21,82
61,56
25,45
9,26
39,20
94,37
49,90
95,89
97,35
94,73
93,27
52,10
6,86
2,75
79,92
30,89
29,32
46,60
9,38
94,59
50,75
37,90
53,54
73,100
64,79
70,52
18,26
65,79
44,53
90,26
93,54
89,89
69,87
80,56
14,75
95,35
15,36
20,13
74,15
64,63
70,51
9,64
57,9
5,50
58,24
69,53
33,41
37,72
65,40
97,33
2,84
85,53
68,67
26,9
80,38
94,9
4,76
